Entity;Code;Year;homicides_per_mio.people
Scandinavia;n/a;1937;6
Scandinavia;n/a;1962;6
Scandinavia;n/a;1984;12
Scandinavia;n/a;1990;18
Scandinavia;n/a;1991;18
Scandinavia;n/a;1992;17
Scandinavia;n/a;1993;17
Scandinavia;n/a;1994;17
Scandinavia;n/a;1995;16
Scandinavia;n/a;1996;16
Scandinavia;n/a;1997;16
Scandinavia;n/a;1998;16
Scandinavia;n/a;1999;15
Scandinavia;n/a;2000;15
Scandinavia;n/a;2001;15
Scandinavia;n/a;2002;14
Scandinavia;n/a;2003;14
Scandinavia;n/a;2004;14
Scandinavia;n/a;2005;13
Scandinavia;n/a;2006;13
Scandinavia;n/a;2007;13
Scandinavia;n/a;2008;12
Scandinavia;n/a;2009;12
Scandinavia;n/a;2010;12
Scandinavia;n/a;2011;11
Scandinavia;n/a;2012;11
Scandinavia;n/a;2013;10
Scandinavia;n/a;2014;10
Scandinavia;n/a;2015;10
Scandinavia;n/a;2016;10
